Timestamp	I_0	Q_0	I_1	Q_1	I_2	Q_2	I_3	Q_3
0.0	3.15737e+03	-1.89775e+03	5.07548e+03	-3.69378e+03	7.53923e+03	-5.81904e+03	1.15548e+04	-7.53738e+03
0.049082	3.15737e+03	-1.90145e+03	5.07548e+03	-3.69378e+03	7.53923e+03	-5.81904e+03	1.15530e+04	-7.53738e+03
0.081346	3.15737e+03	-1.89960e+03	5.07548e+03	-3.69193e+03	7.53923e+03	-5.81719e+03	1.15530e+04	-7.53738e+03
0.131737	3.15922e+03	-1.89960e+03	5.07733e+03	-3.69378e+03	7.53923e+03	-5.81904e+03	1.15530e+04	-7.53738e+03
0.16403	3.15737e+03	-1.90145e+03	5.07363e+03	-3.69193e+03	7.53923e+03	-5.81904e+03	1.15530e+04	-7.53738e+03
0.211694	3.15553e+03	-1.90145e+03	5.07733e+03	-3.69008e+03	7.53923e+03	-5.81719e+03	1.15530e+04	-7.53738e+03
0.243547	3.15737e+03	-1.89960e+03	5.07548e+03	-3.69193e+03	7.54108e+03	-5.81904e+03	1.15530e+04	-7.53738e+03
0.282303	3.15737e+03	-1.90145e+03	5.07733e+03	-3.69378e+03	7.53923e+03	-5.82089e+03	1.15530e+04	-7.53553e+03
0.331301	3.15737e+03	-1.90330e+03	5.08102e+03	-3.69193e+03	7.53923e+03	-5.81904e+03	1.15530e+04	-7.53553e+03
0.36471	3.15553e+03	-1.90145e+03	5.08102e+03	-3.69008e+03	7.54108e+03	-5.81904e+03	1.15530e+04	-7.53553e+03
0.416219	3.15922e+03	-1.89775e+03	5.07733e+03	-3.69193e+03	7.53923e+03	-5.81904e+03	1.15548e+04	-7.53738e+03
0.447989	3.15922e+03	-1.90145e+03	5.07733e+03	-3.69378e+03	7.53923e+03	-5.81904e+03	1.15530e+04	-7.53553e+03
0.497995	3.16107e+03	-1.89960e+03	5.07733e+03	-3.69748e+03	7.53923e+03	-5.82089e+03	1.15548e+04	-7.53553e+03
0.531291	3.15553e+03	-1.89960e+03	5.07548e+03	-3.69378e+03	7.53923e+03	-5.82089e+03	1.15530e+04	-7.53553e+03
0.577092	3.15737e+03	-1.89960e+03	5.07733e+03	-3.69193e+03	7.53923e+03	-5.82089e+03	1.15548e+04	-7.53553e+03
0.627378	3.15922e+03	-1.89960e+03	5.07917e+03	-3.69378e+03	7.53923e+03	-5.81904e+03	1.15548e+04	-7.53738e+03
0.659697	3.15737e+03	-1.90145e+03	5.07733e+03	-3.69193e+03	7.53923e+03	-5.81904e+03	1.15530e+04	-7.53738e+03
0.697797	3.15922e+03	-1.90145e+03	5.07733e+03	-3.69193e+03	7.53923e+03	-5.81719e+03	1.15530e+04	-7.53553e+03
0.732217	3.15922e+03	-1.89960e+03	5.07548e+03	-3.69008e+03	7.54108e+03	-5.81719e+03	1.15548e+04	-7.53738e+03
0.781294	3.15737e+03	-1.89775e+03	5.07548e+03	-3.69193e+03	7.54108e+03	-5.81904e+03	1.15548e+04	-7.53553e+03
0.816171	3.15922e+03	-1.90145e+03	5.07733e+03	-3.69378e+03	7.53923e+03	-5.81904e+03	1.15548e+04	-7.53553e+03
0.865591	3.16292e+03	-1.89960e+03	5.07917e+03	-3.69193e+03	7.53923e+03	-5.82089e+03	1.15530e+04	-7.53553e+03
0.915653	3.15922e+03	-1.90145e+03	5.07917e+03	-3.69008e+03	7.54108e+03	-5.81719e+03	1.15530e+04	-7.53553e+03
0.946944	3.15737e+03	-1.90145e+03	5.07733e+03	-3.69193e+03	7.54108e+03	-5.81904e+03	1.15530e+04	-7.53553e+03
0.987872	3.15922e+03	-1.89960e+03	5.07733e+03	-3.69378e+03	7.54108e+03	-5.82089e+03	1.15548e+04	-7.53553e+03
1.027497	3.15553e+03	-1.90330e+03	5.07733e+03	-3.69378e+03	7.54108e+03	-5.81719e+03	1.15530e+04	-7.53553e+03
1.075702	3.15737e+03	-1.90330e+03	5.07917e+03	-3.69378e+03	7.53923e+03	-5.81904e+03	1.15548e+04	-7.53553e+03
1.098783	3.15922e+03	-1.90145e+03	5.08102e+03	-3.69378e+03	7.53923e+03	-5.81904e+03	1.15548e+04	-7.53738e+03
1.147948	3.15553e+03	-1.89960e+03	5.07733e+03	-3.69378e+03	7.53923e+03	-5.81904e+03	1.15530e+04	-7.53553e+03
1.197895	3.15737e+03	-1.89960e+03	5.07548e+03	-3.69378e+03	7.54108e+03	-5.81904e+03	1.15530e+04	-7.53553e+03
1.231115	3.16107e+03	-1.90145e+03	5.08102e+03	-3.69378e+03	7.53923e+03	-5.81904e+03	1.15530e+04	-7.53738e+03
1.281266	3.16107e+03	-1.90145e+03	5.07733e+03	-3.69378e+03	7.53923e+03	-5.81904e+03	1.15530e+04	-7.53553e+03
1.315712	3.15922e+03	-1.89960e+03	5.07733e+03	-3.69378e+03	7.54108e+03	-5.81904e+03	1.15530e+04	-7.53553e+03
1.363522	3.15922e+03	-1.89960e+03	5.07733e+03	-3.69378e+03	7.54108e+03	-5.82089e+03	1.15530e+04	-7.53553e+03
