,Time,LEFT_SHOULDER,LEFT_ELBOW,LEFT_WRIST,I_0,I_1,I_2,I_3,Q_0,Q_1,Q_2,Q_3
0,0.0,12.6526584625244,40.0809745788574,27.1424713134766,1363.6458025280306,2162.6439547324308,3803.667272145,4668.118736700992,-1937.1349487178038,-4545.362720348467,-7976.786404451514,-13977.442270129197
1,0.04112062745098039,12.64471270650845,40.07254881727551,27.097380678903793,1379.068535469075,2201.7756320575763,3807.82805944313,4666.954737259691,-1923.8726206812396,-4551.883948684954,-7986.5594052563865,-13986.355593981723
2,0.08224125490196078,12.64285256904175,40.07054244982281,27.07353248017955,1393.4108812174,2238.127201148461,3812.0658421569938,4666.6203839084255,-1911.4799021643173,-4558.178208782636,-7996.151838501238,-13994.633159279776
3,0.12336188235294118,12.64693794730179,40.0738729625004,27.070299159380877,1406.714679968842,2271.8055944878606,3816.3576270918056,4667.054029121596,-1899.915988405035,-4564.23967609493,-8005.548739214682,-14002.286562425688
4,0.16448250980392157,12.656616852217985,40.08044461578135,27.083983155672072,1419.0210628209538,2302.915932121888,3820.6811081646288,4668.195431997163,-1889.1409614828285,-4570.062847886484,-8014.73569386321,-14009.327517677655
5,0.20560313725490195,12.671405953010225,40.08828646406947,27.10872428912087,1430.3704517730052,2331.561521659994,3825.0146664043764,4669.985758256648,-1879.1157903185708,-4575.642543233182,-8023.698840351184,-14015.76785714973
6,0.24672376470588236,12.691130663552705,40.09696267519069,27.136635392177055,1440.8025597259834,2357.8438582749645,3829.3373699518124,4672.367580245133,-1869.8023306745729,-4580.973903022137,-8032.424868020841,-14021.61953081183
7,0.28784439215686275,12.715653647627217,40.107496357174696,27.158601593103256,1450.3563904825924,2381.8626247029233,3833.6289740595507,4675.284876931256,-1861.1633251545827,-4586.052389951696,-8040.901017652292,-14026.894606489725
8,0.32896501960784313,12.744695153276188,40.12114523881871,27.17365524483108,1459.0702387472527,2403.7156912433306,3837.8699210920554,4678.683033907217,-1853.1624032037864,-4590.873788531437,-8049.115081463518,-14031.605269865053
9,0.3700856470588235,12.77718845486348,40.13721801898058,27.19211357365232,1466.9816901261024,2423.4991157589843,3842.041340525641,4682.508843388774,-1845.7640811088072,-4595.434205082171,-8057.055403110381,-14035.763824475307
10,0.4112062745098039,12.810792717368951,40.152376088903466,27.22105508459559,1474.1276211269962,2441.3071436760174,3846.1250489484714,4686.710504215247,-1838.9337619977055,-4599.730067735942,-8064.71087768661,-14039.382691713845
11,0.4523269019607843,12.840992677964401,40.16108814601292,27.25610895670891,1480.544199159506,2457.2322079839023,3850.103550060562,4691.237621849513,-1832.63773583998,-4603.758126436026,-8072.07095172381,-14042.47441082988
12,0.49344752941176473,12.8610482847011,40.15759430428999,27.287906669651967,1486.2668825349206,2471.3649292354453,3853.960034673778,4696.041208378009,-1826.8431794465666,-4607.51545293693,-8079.125623191461,-14045.05163892849
13,0.5345681568627451,12.863365679961925,40.137783748757975,27.306736813152558,1491.3304204662454,2483.7941155467915,3857.6783807118336,4701.073682510733,-1821.5181564698382,-4610.999440804395,-8085.865441496914,-14047.12715097061
14,0.5756887843137255,12.84320011293739,40.10180352441511,27.307838981379877,1495.7688530682035,2494.606762597423,3861.243153210294,4706.288869581241,-1816.631617403606,-4614.2078054153935,-8092.281507485396,-14048.713839773036
15,0.6168094117647058,12.804186799939707,40.05993944769673,27.293360127622037,1499.6155113572345,2503.8880536301567,3864.6396043165755,4711.642001546649,-1812.1533995831182,-4617.13858395813,-8098.365473440006,-14049.824716008425
16,0.6579300392156863,12.765437655273598,40.04476775435198,27.26814302369416,1502.9030172514952,2511.7213594511486,3867.8536732899433,4717.0897169876325,-1808.0542271850607,-4619.790135432042,-8104.109543081718,-14050.472908205293
17,0.6990506666666667,12.76615880341827,40.121901490748535,27.234166455601933,1505.6632835708588,2518.18823842989,3870.8719865015137,4722.590061108427,-1804.305711227557,-4622.161140647799,-8109.506471569379,-14050.671662748018
18,0.740171294117647,12.863720733637575,40.384975536742104,27.192782074981995,1507.9275140369164,2523.3684364992105,3873.6818574342515,4728.102485736827,-1800.880349570168,-4624.250602227302,-8114.549565499709,-14050.434343876837
19,0.7812919215686275,13.12361606652159,40.934084061596536,27.15036841962085,1509.7262032729752,2527.339887155275,3876.2712866829743,4733.587849324185,-1797.751526913892,-4626.057844603687,-8119.232682907304,-14049.774433687848
20,0.8224125490196078,13.606110708477077,41.848576828662026,27.112769509551928,1511.0891368040598,2530.178711457586,3878.6289619543477,4739.008416945417,-1794.8935148011647,-4627.582514021318,-8123.55023326463,-14048.705532133006
21,0.8635331764705882,14.356772126757003,43.165216122916426,27.068369587725257,1512.0453910569122,2531.959218028983,3880.7442580668885,4744.327860298994,-1792.28147161586,-4628.824578535796,-8127.497177482031,-14047.241357020132
22,0.9046538039215686,15.405109212179404,44.86899715981172,26.98890354594324,1512.6233333599903,2532.7539030556413,3882.607236950964,4749.511257706949,-1789.8914425832886,-4629.784328013951,-8131.06902790772,-14045.395744012903
23,0.945774431372549,16.766554131118866,46.89748048114039,26.847214786313376,1512.8506219434698,2532.6334502870745,3884.2086476487902,4754.525094114876,-1787.7003597701994,-4630.462374133846,-8134.261848327788,-14043.182646630858
24,0.9868950588235295,18.44078347266145,49.15413396414357,26.626812328639414,1512.7542059392433,2531.666731036132,3885.539926314435,4759.337261091924,-1785.6860420847777,-4630.8596503847775,-8137.072253966197,-14040.616136249393
