,Time,LEFT_SHOULDER,LEFT_ELBOW,LEFT_WRIST,I_0,I_1,I_2,I_3,Q_0,Q_1,Q_2,Q_3
0,0.0,11.5524520874023,38.5865173339844,12.069806098938,1383.120984930601,2175.5400561030747,3704.5440271064826,4514.433537634034,-1922.0952856250565,-4491.172125215146,-7934.656012008594,-14050.494042868775
1,0.04112062745098039,11.554570226945511,38.505208136314536,12.073488070849411,1392.7238403497106,2209.3147463565833,3737.466622881185,4563.659900917289,-1912.9861360506166,-4518.862286306042,-7972.288153398711,-14058.923377333478
2,0.08224125490196078,11.552312457477948,38.43778149882568,12.085975493472226,1401.875705777042,2241.1023430374753,3767.7315604178793,4608.420417323791,-1904.457043052152,-4544.171767525829,-8006.528309714271,-14066.284826799754
3,0.12336188235294118,11.545817715323475,38.384236930747676,12.107069791674123,1410.591322331672,2270.9621135647,3795.4047341465016,4648.856669427095,-1896.4692835278029,-4567.1715824541125,-8037.496989654035,-14072.628390207528
4,0.16448250980392157,11.53595455397856,38.344855712258614,12.135417115377015,1418.885177658851,2298.9525174298574,3820.5515740061837,4685.108440224285,-1888.9851094055498,-4587.931931103017,-8065.312885928713,-14078.003113633638
5,0.20560313725490195,11.524243711154462,38.32017839434728,12.168040644402028,1426.7715059300026,2325.131206197197,3843.2370454452525,4717.313713135985,-1881.9677476432134,-4606.5221999171745,-8090.092875260961,-14082.457090291831
6,0.24672376470588236,11.513245227485776,38.31051321413047,12.20049091918943,1434.2642878427232,2349.5550235036185,3863.5256494212304,4745.608672006356,-1875.3814002284541,-4623.010961773734,-8111.952018385384,-14086.037460532767
7,0.28784439215686275,11.506253025379895,38.314907266291456,12.228642483193264,1441.3772506207831,2372.2800050586707,3881.481422400835,4770.127701103091,-1869.1912441787724,-4637.465975982355,-8131.003560048533,-14088.790411844016
8,0.32896501960784313,11.50750351861243,38.33031162995074,12.251464372434429,1448.1238680141255,2393.3613786445517,3897.16793635998,4791.003385117422,-1863.363431541509,-4649.95418828521,-8147.358929008907,-14090.761178850058
9,0.3700856470588235,11.522205162289968,38.35147420821977,12.27163996814782,1454.5173602988666,2412.8535641161097,3910.6482987837744,4808.366509164118,-1857.865089393845,-4660.541730856984,-8161.127738036952,-14091.99404331229
10,0.4112062745098039,11.556416805838747,38.37154162058587,12.2944501215093,1460.570694277297,2430.810173400843,3921.9851526665225,4822.346058781482,-1852.664319842801,-4669.293922304877,-8172.4177839150625,-14092.532334129013
11,0.4523269019607843,11.617003554716176,38.38406246038701,12.324928707359257,1466.2965832778789,2447.284010498899,3931.2406765117244,4833.069219931353,-1847.7302000252378,-4676.275267668598,-8181.33504743758,-14092.418427335444
12,0.49344752941176473,11.711103512969549,38.384961517588856,12.365964135332602,1471.7074871552493,2462.3270714830755,3938.4765843320747,4840.661378999108,-1843.0327821078567,-4681.549458420372,-8187.9836934107925,-14091.69374610371
13,0.5345681568627451,11.845803398491663,38.374080247562475,12.4187334414374,1476.8156122902174,2475.9905444988185,3943.7541256494646,4845.246122793658,-1838.5430932871986,-4685.179372464936,-8192.466070652936,-14090.398760742848
14,0.5756887843137255,12.027821660728327,38.35487199149351,12.484186050290912,1481.6329115897663,2488.3248097642254,3947.1340854949804,4846.945238547453,-1834.2331357896448,-4687.227074139539,-8194.882711994194,-14088.572988698808
15,0.6168094117647058,12.263420974699205,38.33211824887646,12.564363821515455,1486.1710844870522,2499.3794395700425,3948.676784408904,4845.878713916476,-1830.0758868714167,-4687.753814213944,-8195.3323342767,-14086.25499455445
16,0.6579300392156863,12.558866247523722,38.30976568187655,12.66326275509272,1490.4415769414045,2509.2031982796652,3948.442078440712,4842.164736980247,-1826.0452988185752,-4686.820029890425,-8193.911838354528,-14083.482390029547
17,0.6990506666666667,12.920232808095799,38.28894295421431,12.784682031416809,1494.4555814383257,2517.8440423291395,3946.4893591490777,4835.919696241822,-1822.1162989470222,-4684.48534480377,-8190.716309093706,-14080.29183398078
18,0.740171294117647,13.353064807146696,38.26835582250074,12.929923467838751,1498.2240369894917,2525.349120227161,3942.8775536018693,4827.258180627795,-1818.264789602499,-4680.808569021281,-8185.839015372207,-14076.719032401747
19,0.7812919215686275,13.861767691337189,38.245270279616015,13.096870588432898,1501.757629132752,2531.7647725550746,3937.66512437615,4816.292979488294,-1814.4676481605868,-4675.847699042771,-8179.371410079951,-14072.798738422951
20,0.8224125490196078,14.44820086411736,38.21562844440928,13.27905121100038,1505.066789932129,2537.136531966875,3930.9100695581787,4803.135082596983,-1810.7027270267076,-4669.659917800565,-8171.403130118806,-14068.564752311808
21,0.8635331764705882,15.111074044258116,38.174898416619904,13.465820588090052,1508.1616979778184,2541.509123189206,3922.669922743411,4787.8936801510645,-1806.9488536361234,-4662.301594659504,-8162.021996402589,-14064.049921472648
22,0.9046538039215686,15.84511132332842,38.119222360470296,13.644681415217292,1511.0522783861893,2544.9264630213625,3913.001753036496,4770.676162771273,-1803.1858304539355,-4653.828285416939,-8151.314013857061,-14059.286140446711
23,0.945774431372549,16.64141890126457,38.047012262660886,13.80355721823932,1513.748202799784,2547.431660335288,3901.96216505128,4751.5881215018835,-1799.3944349750861,-4644.294732302735,-8139.363371419933,-14054.304350912145
24,0.9868950588235295,17.488150719553605,37.959843699093874,13.932525031221148,1516.2588893873178,2549.067016075576,3889.6072989108034,4730.733347810705,-1795.5564197243568,-4633.754863979268,-8126.252442040863,-14049.134541684014
